des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_km,is_potentially_hazardous
2009 SW171,13,2455086.669709011,2009-Sep-12 04:04,0.0246856256361241,0.0246379396612435,0.0247333086483849,3.8218240265132,3.79347676226021,00:03,26.1,0.0160160338,0.0358129403,59175616.53603421,False
2009 SM98,16,2455087.440982153,2009-Sep-12 22:35,0.0237194470696591,0.0236168510133955,0.0238220428392901,19.5780265313751,19.5722879765338,00:07,22.3,0.0921626549,0.2060819612,3548378.763737677,False
2009 SD15,8,2455088.318201671,2009-Sep-13 19:38,0.0181732198115551,0.0179160614003155,0.0184303675507482,14.0116856313017,14.0012179052775,00:02,26.9,0.0110803882,0.0247765013,2718674.973121826,False
2009 SH1,7,2455089.019464739,2009-Sep-14 12:28,0.006098479945761,0.0030069806069546,0.0091611147637956,7.11676121556304,7.05510259815149,07:04,29.42,0.0034718022,0.0077631858,1225749.954602988,False
2009 SJ1,10,2455089.295537428,2009-Sep-14 19:06,0.0310659739853266,0.0309842567342947,0.0311476903990658,8.31930037165058,8.30898440511569,00:11,26.0,0.0167708462,0.0375007522,57044248.37929771,False
2009 SA100,9,2455089.888966079,2009-Sep-15 09:20,0.0234426327350375,0.0232526371183847,0.0236326209379163,9.49281152513953,9.48083074052261,00:03,23.9,0.04411182,0.0986370281,59778800.27908114,False
2009 RR,11,2455090.830994783,2009-Sep-16 07:57,0.0072077707052766,0.0071745717746723,0.0072409682686224,12.794119215387,12.7651929592307,< 00:01,25.5,0.0211132445,0.0472106499,1078267.144168409,False
363067,161,2455092.457295102,2009-Sep-17 22:59,0.0458133455814874,0.0458133428357848,0.0458133483271927,7.98461844243794,7.97733118002252,< 00:01,19.21,,,,
2009 SL,7,2455093.707792907,2009-Sep-19 04:59,0.0318784412050197,0.0313867958518426,0.0323700967755386,11.3584263542227,11.3510653365238,00:53,26.7,0.0121494041,0.0271668934,4768946.902440244,False
2021 RG12,4,2455093.747267661,2009-Sep-19 05:56,0.038952980285899,0.0362109271870513,0.0416981635012608,3.14946742909539,3.12767328605067,08:47,29.17,0.0038954262,0.0087104377,3199430.527082214,False
2009 SR104,8,2455095.268176545,2009-Sep-20 18:26,0.047463244206123,0.0469136913876413,0.0480127878960478,12.4645028669447,12.4599982438562,< 00:01,25.4,0.022108281,0.0494356193,60098542.22438077,False
2009 RG2,13,2455095.545491184,2009-Sep-21 01:06,0.0233661596076705,0.0232003680635531,0.0235319398149373,6.88965053105044,6.87307946593778,< 00:01,25.7,0.0192555078,0.0430566244,29002596.861516967,False
2009 SC170,7,2455095.791937144,2009-Sep-21 07:00,0.011363839161672,0.0112330612356204,0.0114946174301964,5.63899945870427,5.59726494821957,00:54,28.0,0.0066765941,0.0149293183,1700006.139342504,False
2009 SK15,10,2455095.838832101,2009-Sep-21 08:08,0.0195818709209151,0.0195122269160346,0.0196515131503903,8.7148727602224,8.69924536186024,< 00:01,25.3,0.0231502122,0.0517654482,38381772.74177035,False
2009 SP104,7,2455096.307767407,2009-Sep-21 19:23,0.0087829711529633,0.0085784514537995,0.0089874697999767,17.07864931233,17.0608770217709,01:53,26.7,0.0121494041,0.0271668934,1313913.783791344,False
2019 SY6,3,2455096.840516392,2009-Sep-22 08:10,0.0181273370948143,0.0151233399780759,0.0453728904946812,15.8680727432768,15.8588069847211,04:18,25.1,0.0253837029,0.0567596853,50877947.73077855,False
2009 SH15,12,2455097.014179666,2009-Sep-22 12:20,0.0224723640048188,0.0224102456525874,0.0225344812793615,8.69612860099659,8.68248344505527,< 00:01,24.5,0.0334622374,0.0748238376,3361817.78826468,False
