des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_km,is_potentially_hazardous
2003 YG136,8,2453006.58372436,2004-Jan-02 02:01,0.0188902706746406,0.018802733600754,0.0189778059715,11.34959296941,11.3371583682249,< 00:01,25.24,0.0237987955,0.0532157244,17562989.037805185,False
2004 AD1,17,2453007.994611406,2004-Jan-03 11:52,0.0397283236962642,0.0397268479233375,0.0397297994693219,12.3612197013693,12.3557928724179,< 00:01,22.5,0.0840533402,0.1879489824,14450450.698177176,False
2004 AD,18,2453008.300530491,2004-Jan-03 19:13,0.0273456094726063,0.0273445648710214,0.027346654075929,7.31203428593979,7.29869652878678,< 00:01,24.4,0.0350392641,0.0783501764,21410243.52177936,False
2022 EH4,5,2453015.796763581,2004-Jan-11 07:07,0.0247258922799659,0.0194114423970627,0.115373820779258,7.15350287886526,7.1384229384234,8_05:32,24.93,0.0274507982,0.0613818507,69716446.16118336,False
2004 BA75,9,2453018.049029795,2004-Jan-13 13:11,0.0207934483658185,0.0204991895436291,0.0210877021132675,17.3361088805819,17.3287157763965,00:49,24.45,0.0342416731,0.0765667087,3110655.590594908,False
2019 TF2,17,2453018.939000857,2004-Jan-14 10:32,0.0430822712750853,0.0429663133128616,0.0431991286206812,1.55150279616402,1.51111492423366,22:17,26.3,0.0146067964,0.0326617897,11020269.630400537,False
2003 YS17,50,2453019.250151013,2004-Jan-14 18:00,0.0358966140710773,0.0358964567679044,0.0358967713742502,10.4632718481511,10.4561754387799,< 00:01,21.6,0.1272198785,0.2844722965,16863445.985618528,True
666241,28,2453021.461857413,2004-Jan-16 23:05,0.033229107630856,0.0332288103152064,0.0332294049466341,13.5234043042775,13.5174736462017,< 00:01,22.04,,,,
2004 BN41,10,2453022.684540858,2004-Jan-18 04:26,0.0098882776684874,0.0097366589407168,0.0100398384383665,6.55543670391531,6.51420245368504,00:02,26.1,0.0160160338,0.0358129403,1479265.281888499,False
331876,42,2453025.671822613,2004-Jan-21 04:07,0.046495572627692,0.0464953155586666,0.0464958296970875,18.336423702405,18.3332981762632,< 00:01,20.56,,,,
2004 BV18,17,2453026.567813034,2004-Jan-22 01:38,0.013190850575756,0.0131836471376441,0.013198053751878,3.4960329374609,3.43776923148882,< 00:01,25.9,0.0175612318,0.0392681082,57402419.608874634,False
2004 BG41,16,2453027.242249424,2004-Jan-22 17:49,0.0471563969475702,0.0471561521563045,0.0471566417389028,9.80343061445348,9.7976653214565,< 00:01,24.4,0.0350392641,0.0783501764,63947604.67341282,False
2023 CW2,8,2453031.040749032,2004-Jan-26 12:59,0.0374400949301985,0.0329812662219588,0.0419008481982593,3.16998144701597,3.14745126051829,1_02:20,29.72,0.0030238133,0.0067614521,50340897.94482504,False
2004 CO49,23,2453033.292184526,2004-Jan-28 19:01,0.0323268110997795,0.0323262547897971,0.0323273674097693,9.02762696428537,9.01849223533382,< 00:01,21.6,0.1272198785,0.2844722965,4917267.490866397,True
2019 BS2,2,2453033.292430055,2004-Jan-28 19:01,0.0135490824896364,0.0122393771791861,0.071232434819787,10.2162212337019,10.1969538873529,5_03:37,27.3,0.0092162655,0.0206081961,31756639.718184836,False
